ts_ms,device_id,seq,uptime_ms,temp
1776606180654,device_001,6108,1776606180466,25.85
1776606181677,device_001,6109,1776606181467,29.61
1776606182671,device_001,6110,1776606182468,27.02
1776606183671,device_001,6111,1776606183470,28.89
1776606184671,device_001,6112,1776606184470,28.27
1776606185671,device_001,6113,1776606185474,27.77
1776606186691,device_001,6114,1776606186475,29.19
1776606187663,device_001,6115,1776606187475,28.93
1776606188705,device_001,6116,1776606188477,29.55
1776606189691,device_001,6117,1776606189478,29.99
1776606190667,device_001,6118,1776606190479,27.54
1776606191704,device_001,6119,1776606191481,29.71
1776606192681,device_001,6120,1776606192483,27.13
1776606193678,device_001,6121,1776606193484,29.42
1776606194701,device_001,6122,1776606194485,27.08
1776606195732,device_001,6123,1776606195535,27.35
1776606196741,device_001,6124,1776606196551,25.45
1776606197754,device_001,6125,1776606197552,25.86
1776606198751,device_001,6126,1776606198553,25.65
1776606199771,device_001,6127,1776606199555,28.02
1776606200813,device_001,6128,1776606200557,28.09
1776606201869,device_001,6129,1776606201558,26.67
1776606202771,device_001,6130,1776606202559,27.36
1776606203770,device_001,6131,1776606203560,26.79
1776606204790,device_001,6132,1776606204561,27.5
1776606205747,device_001,6133,1776606205563,25.95
1776606206783,device_001,6134,1776606206564,26.92
1776606207761,device_001,6135,1776606207565,26.36
1776606208771,device_001,6136,1776606208566,25.29
1776606209799,device_001,6137,1776606209568,27.75
1776606210755,device_001,6138,1776606210569,26.37
1776606211791,device_001,6139,1776606211571,26.23
1776606212782,device_001,6140,1776606212572,28.57
1776606213791,device_001,6141,1776606213573,28.72
1776606214801,device_001,6142,1776606214578,25.06
1776606215803,device_001,6143,1776606215581,25.02
1776606216795,device_001,6144,1776606216582,26.46
1776606217760,device_001,6145,1776606217583,27.88
1776606218781,device_001,6146,1776606218584,28.46
1776606219779,device_001,6147,1776606219585,26.11
1776606220779,device_001,6148,1776606220586,26.68
1776606221781,device_001,6149,1776606221587,26.92
1776606222812,device_001,6150,1776606222589,26.83
1776606223810,device_001,6151,1776606223590,28.54
1776606224796,device_001,6152,1776606224591,26.13
1776606225783,device_001,6153,1776606225592,26.34
1776606226812,device_001,6154,1776606226593,28.25
1776606227804,device_001,6155,1776606227594,29.91
1776606228793,device_001,6156,1776606228595,27.8
1776606229820,device_001,6157,1776606229596,25.46
1776606230830,device_001,6158,1776606230597,26.06
1776606231812,device_001,6159,1776606231600,29.86
1776606232792,device_001,6160,1776606232601,26.43
1776606233801,device_001,6161,1776606233602,26.41
1776606234800,device_001,6162,1776606234603,27.73
1776606235823,device_001,6163,1776606235604,29.24
1776606236799,device_001,6164,1776606236605,28.0
1776606237839,device_001,6165,1776606237606,26.2
1776606238833,device_001,6166,1776606238607,27.8
1776606239832,device_001,6167,1776606239609,25.35
1776606240830,device_001,6168,1776606240609,26.54
1776606241803,device_001,6169,1776606241610,29.32
1776606242820,device_001,6170,1776606242611,26.1
1776606244619,device_001,6171,1776606243612,26.19
1776606244835,device_001,6172,1776606244613,29.22
1776606245830,device_001,6173,1776606245614,29.05
1776606246830,device_001,6174,1776606246616,29.78
1776606247830,device_001,6175,1776606247617,26.46
1776606248830,device_001,6176,1776606248618,26.73
1776606249840,device_001,6177,1776606249619,29.15
1776606250840,device_001,6178,1776606250621,29.22
1776606251821,device_001,6179,1776606251622,26.6
1776606252819,device_001,6180,1776606252623,26.17
1776606253840,device_001,6181,1776606253624,28.06
1776606254864,device_001,6182,1776606254628,28.28
1776606255818,device_001,6183,1776606255629,28.82
1776606256832,device_001,6184,1776606256630,27.31
1776606257840,device_001,6185,1776606257631,26.96
1776606258846,device_001,6186,1776606258632,25.38
1776606259879,device_001,6187,1776606259633,29.25
1776606260830,device_001,6188,1776606260635,26.02
1776606261860,device_001,6189,1776606261635,29.79
1776606262879,device_001,6190,1776606262637,28.11
1776606263864,device_001,6191,1776606263638,27.88
1776606264823,device_001,6192,1776606264639,25.47
1776606265830,device_001,6193,1776606265640,27.93
1776606266840,device_001,6194,1776606266641,28.46
1776606267860,device_001,6195,1776606267642,27.37
1776606268840,device_001,6196,1776606268643,26.44
1776606269880,device_001,6197,1776606269645,29.85
1776606270870,device_001,6198,1776606270646,29.33
1776606271870,device_001,6199,1776606271647,25.08
1776606272858,device_001,6200,1776606272648,26.58
1776606273841,device_001,6201,1776606273649,29.42
1776606274849,device_001,6202,1776606274650,28.22
1776606275870,device_001,6203,1776606275651,27.54
1776606276871,device_001,6204,1776606276653,29.37
1776606277869,device_001,6205,1776606277654,25.4
1776606278874,device_001,6206,1776606278658,26.21
1776606279864,device_001,6207,1776606279659,25.02
1776606280834,device_001,6208,1776606280660,27.79
1776606281882,device_001,6209,1776606281663,29.19
1776606282852,device_001,6210,1776606282664,29.19
1776606283883,device_001,6211,1776606283665,26.62
1776606284914,device_001,6212,1776606284666,27.02
1776606285880,device_001,6213,1776606285667,27.65
1776606286890,device_001,6214,1776606286669,29.41
1776606287868,device_001,6215,1776606287672,29.09
1776606288879,device_001,6216,1776606288674,27.06
1776606289859,device_001,6217,1776606289675,25.86
1776606290903,device_001,6218,1776606290676,29.29
1776606291864,device_001,6219,1776606291677,29.09
1776606292900,device_001,6220,1776606292678,29.36
1776606293899,device_001,6221,1776606293679,25.19
1776606294901,device_001,6222,1776606294680,28.67
1776606295870,device_001,6223,1776606295681,26.94
1776606296894,device_001,6224,1776606296683,26.99
1776606297899,device_001,6225,1776606297684,27.65
1776606298903,device_001,6226,1776606298685,26.11
1776606299900,device_001,6227,1776606299686,27.95
1776606300900,device_001,6228,1776606300687,26.75
1776606301912,device_001,6229,1776606301688,28.34
1776606302903,device_001,6230,1776606302690,27.93
1776606303875,device_001,6231,1776606303691,29.88
1776606304911,device_001,6232,1776606304692,28.05
1776606305910,device_001,6233,1776606305694,26.49
1776606306914,device_001,6234,1776606306695,26.89
1776606307882,device_001,6235,1776606307696,26.47
1776606308909,device_001,6236,1776606308697,26.53
1776606309909,device_001,6237,1776606309698,25.74
1776606310909,device_001,6238,1776606310701,29.47
1776606311900,device_001,6239,1776606311702,29.21
1776606312900,device_001,6240,1776606312704,29.86
1776606313919,device_001,6241,1776606313705,28.62
1776606314919,device_001,6242,1776606314706,27.07
1776606315899,device_001,6243,1776606315708,25.37
1776606316930,device_001,6244,1776606316709,26.18
1776606317909,device_001,6245,1776606317710,27.35
1776606318910,device_001,6246,1776606318711,28.19
1776606319909,device_001,6247,1776606319712,29.71
1776606320909,device_001,6248,1776606320714,27.85
1776606321929,device_001,6249,1776606321715,28.18
1776606322939,device_001,6250,1776606322717,28.47
1776606323948,device_001,6251,1776606323719,28.56
1776606324938,device_001,6252,1776606324720,28.77
1776606325909,device_001,6253,1776606325721,25.35
1776606326940,device_001,6254,1776606326722,29.27
1776606327930,device_001,6255,1776606327724,25.17
1776606328910,device_001,6256,1776606328725,28.93
1776606329909,device_001,6257,1776606329726,27.34
1776606330949,device_001,6258,1776606330730,29.52
1776606331925,device_001,6259,1776606331731,28.94
1776606332949,device_001,6260,1776606332733,25.45
1776606333946,device_001,6261,1776606333734,25.45
1776606334908,device_001,6262,1776606334735,27.99
1776606336010,device_001,6263,1776606335736,29.6
1776606336954,device_001,6264,1776606336737,26.84
1776606337949,device_001,6265,1776606337738,25.77
1776606338954,device_001,6266,1776606338740,26.46
1776606339958,device_001,6267,1776606339741,28.38
1776606340968,device_001,6268,1776606340742,27.05
1776606341944,device_001,6269,1776606341743,27.16
1776606342948,device_001,6270,1776606342744,26.98
1776606343970,device_001,6271,1776606343745,26.86
1776606344967,device_001,6272,1776606344746,26.88
1776606345969,device_001,6273,1776606345747,27.31
1776606346967,device_001,6274,1776606346749,26.35
1776606347970,device_001,6275,1776606347750,27.54
1776606348958,device_001,6276,1776606348751,28.32
1776606349972,device_001,6277,1776606349752,29.95
1776606350961,device_001,6278,1776606350753,27.24
1776606351986,device_001,6279,1776606351755,27.14
1776606352970,device_001,6280,1776606352761,28.73
1776606353980,device_001,6281,1776606353762,26.12
1776606355012,device_001,6282,1776606354763,29.55
1776606355938,device_001,6283,1776606355764,25.93
1776606356957,device_001,6284,1776606356765,25.49
1776606357989,device_001,6285,1776606357766,29.7
1776606358977,device_001,6286,1776606358768,27.01
1776606359994,device_001,6287,1776606359769,28.51
1776606360984,device_001,6288,1776606360770,29.85
1776606361960,device_001,6289,1776606361771,26.32
1776606364358,device_001,6290,1776606362774,29.24
1776606364362,device_001,6291,1776606363775,25.75
1776606364996,device_001,6292,1776606364776,28.16
1776606365989,device_001,6293,1776606365778,28.44
1776606366979,device_001,6294,1776606366779,29.31
1776606367948,device_001,6295,1776606367780,25.85
1776606368983,device_001,6296,1776606368781,27.6
1776606369966,device_001,6297,1776606369782,26.31
1776606370995,device_001,6298,1776606370783,27.82
1776606371967,device_001,6299,1776606371784,29.31
1776606373005,device_001,6300,1776606372785,29.57
1776606373999,device_001,6301,1776606373787,26.26
1776606375015,device_001,6302,1776606374788,29.25
1776606376044,device_001,6303,1776606375790,27.83
1776606377041,device_001,6304,1776606376794,26.36
1776606377978,device_001,6305,1776606377795,25.77
1776606378987,device_001,6306,1776606378796,25.37
1776606379992,device_001,6307,1776606379797,27.75
1776606381028,device_001,6308,1776606380798,29.4
1776606382029,device_001,6309,1776606381799,29.24
1776606383022,device_001,6310,1776606382800,29.97
1776606383998,device_001,6311,1776606383802,29.66
1776606385029,device_001,6312,1776606384803,26.5
1776606386030,device_001,6313,1776606385804,26.63
1776606387000,device_001,6314,1776606386805,27.79
1776606388018,device_001,6315,1776606387806,29.95
1776606389016,device_001,6316,1776606388807,25.16
1776606390022,device_001,6317,1776606389808,29.88
1776606390998,device_001,6318,1776606390809,25.8
1776606392022,device_001,6319,1776606391810,28.03
1776606393047,device_001,6320,1776606392813,28.67
1776606394040,device_001,6321,1776606393817,27.22
1776606395055,device_001,6322,1776606394819,29.18
1776606396024,device_001,6323,1776606395820,25.38
1776606397040,device_001,6324,1776606396821,27.52
1776606398029,device_001,6325,1776606397823,25.18
1776606399037,device_001,6326,1776606398824,26.31
1776606400038,device_001,6327,1776606399825,26.88
1776606401030,device_001,6328,1776606400826,26.17
1776606402018,device_001,6329,1776606401829,26.94
1776606403050,device_001,6330,1776606402830,28.02
1776606404055,device_001,6331,1776606403831,29.17
1776606405028,device_001,6332,1776606404832,26.99
1776606406018,device_001,6333,1776606405833,28.56
1776606407057,device_001,6334,1776606406835,29.7
1776606408042,device_001,6335,1776606407836,27.09
1776606409053,device_001,6336,1776606408837,25.89
1776606410218,device_001,6337,1776606409838,29.0
1776606411049,device_001,6338,1776606410839,27.45
1776606412035,device_001,6339,1776606411840,26.71
1776606413047,device_001,6340,1776606412841,28.45
1776606414038,device_001,6341,1776606413843,26.64
1776606415036,device_001,6342,1776606414844,28.02
1776606416037,device_001,6343,1776606415845,28.73
1776606417036,device_001,6344,1776606416846,25.39
1776606418052,device_001,6345,1776606417847,28.6
1776606419028,device_001,6346,1776606418849,26.58
1776606420036,device_001,6347,1776606419850,27.54
1776606421047,device_001,6348,1776606420851,25.45
1776606422057,device_001,6349,1776606421852,28.62
1776606423050,device_001,6350,1776606422853,26.36
1776606424057,device_001,6351,1776606423854,26.61
1776606425054,device_001,6352,1776606424855,29.2
1776606426047,device_001,6353,1776606425857,26.1
1776606427067,device_001,6354,1776606426858,25.17
1776606428057,device_001,6355,1776606427859,29.95
1776606429056,device_001,6356,1776606428861,29.79
1776606430087,device_001,6357,1776606429862,29.19
1776606431081,device_001,6358,1776606430863,29.04
1776606432087,device_001,6359,1776606431864,25.22
1776606433090,device_001,6360,1776606432865,29.09
1776606434087,device_001,6361,1776606433867,26.32
1776606435074,device_001,6362,1776606434877,27.04
1776606436087,device_001,6363,1776606435891,25.8
1776606437086,device_001,6364,1776606436893,28.69
1776606438097,device_001,6365,1776606437894,27.44
1776606439117,device_001,6366,1776606438895,25.07
1776606440099,device_001,6367,1776606439896,26.28
1776606441119,device_001,6368,1776606440898,26.65
1776606442102,device_001,6369,1776606441899,27.04
1776606443073,device_001,6370,1776606442901,29.69
1776606444096,device_001,6371,1776606443901,27.98
1776606445127,device_001,6372,1776606444902,29.19
1776606446117,device_001,6373,1776606445903,28.76
1776606447127,device_001,6374,1776606446904,29.88
1776606448126,device_001,6375,1776606447905,28.37
1776606449092,device_001,6376,1776606448907,27.59
1776606450101,device_001,6377,1776606449920,27.62
1776606451128,device_001,6378,1776606450921,25.05
1776606452145,device_001,6379,1776606451922,26.67
1776606453116,device_001,6380,1776606452924,29.13
1776606454137,device_001,6381,1776606453926,26.12
1776606455152,device_001,6382,1776606454927,26.5
1776606456127,device_001,6383,1776606455928,25.47
1776606457117,device_001,6384,1776606456929,26.51
1776606458136,device_001,6385,1776606457930,28.91
1776606459147,device_001,6386,1776606458931,25.62
1776606460164,device_001,6387,1776606459932,25.36
1776606461117,device_001,6388,1776606460933,26.8
1776606462126,device_001,6389,1776606461935,29.19
1776606463135,device_001,6390,1776606462936,28.05
1776606464147,device_001,6391,1776606463937,28.13
1776606465144,device_001,6392,1776606464938,26.69
1776606466111,device_001,6393,1776606465939,28.4
1776606467147,device_001,6394,1776606466940,29.09
1776606468136,device_001,6395,1776606467942,27.81
1776606469163,device_001,6396,1776606468943,28.11
1776606470176,device_001,6397,1776606469949,27.39
1776606471163,device_001,6398,1776606470952,27.36
1776606472177,device_001,6399,1776606471954,25.37
1776606473141,device_001,6400,1776606472955,28.51
1776606474146,device_001,6401,1776606473956,28.19
1776606475175,device_001,6402,1776606474957,26.68
1776606476157,device_001,6403,1776606475958,27.85
1776606477175,device_001,6404,1776606476960,25.45
1776606478186,device_001,6405,1776606477961,28.92
1776606479196,device_001,6406,1776606478962,29.42
1776606480176,device_001,6407,1776606479963,28.78
1776606481157,device_001,6408,1776606480965,29.99
1776606482186,device_001,6409,1776606481966,27.57
1776606484431,device_001,6410,1776606482967,29.88
1776606484446,device_001,6411,1776606483969,27.31
1776606485231,device_001,6412,1776606484970,27.49
1776606486180,device_001,6413,1776606485972,27.28
1776606487186,device_001,6414,1776606486973,25.86
1776606488192,device_001,6415,1776606487974,28.97
1776606489145,device_001,6416,1776606488975,28.01
1776606490196,device_001,6417,1776606489976,28.57
1776606491197,device_001,6418,1776606490977,26.34
1776606492196,device_001,6419,1776606491978,26.53
1776606493197,device_001,6420,1776606492979,26.55
1776606494200,device_001,6421,1776606493980,25.79
1776606495198,device_001,6422,1776606494982,28.51
1776606496181,device_001,6423,1776606495983,25.84
1776606497187,device_001,6424,1776606496984,27.28
1776606498176,device_001,6425,1776606497985,26.41
1776606499197,device_001,6426,1776606498987,29.01
1776606500206,device_001,6427,1776606499988,26.54
1776606501206,device_001,6428,1776606500989,29.9
1776606502196,device_001,6429,1776606501990,26.41
1776606503206,device_001,6430,1776606502991,27.68
1776606504182,device_001,6431,1776606503992,27.18
1776606505186,device_001,6432,1776606504993,28.83
1776606506196,device_001,6433,1776606505994,27.62
1776606507216,device_001,6434,1776606506995,25.63
1776606508188,device_001,6435,1776606507996,28.0
1776606509212,device_001,6436,1776606508997,28.9
1776606510206,device_001,6437,1776606509998,26.64
1776606511206,device_001,6438,1776606510999,26.25
1776606512180,device_001,6439,1776606512000,26.07
1776606513197,device_001,6440,1776606513001,26.79
1776606514206,device_001,6441,1776606514003,28.31
1776606515221,device_001,6442,1776606515004,25.15
1776606516226,device_001,6443,1776606516005,26.41
1776606517226,device_001,6444,1776606517007,27.0
1776606518196,device_001,6445,1776606518008,26.01
1776606519220,device_001,6446,1776606519010,26.51
1776606520191,device_001,6447,1776606520011,26.25
1776606521226,device_001,6448,1776606521012,25.95
1776606522226,device_001,6449,1776606522013,27.13
1776606523238,device_001,6450,1776606523014,25.87
1776606524233,device_001,6451,1776606524015,27.12
1776606525236,device_001,6452,1776606525017,26.25
1776606526236,device_001,6453,1776606526018,27.33
1776606527224,device_001,6454,1776606527019,25.95
1776606528228,device_001,6455,1776606528020,28.63
1776606529237,device_001,6456,1776606529021,27.8
1776606530237,device_001,6457,1776606530022,29.79
1776606531290,device_001,6458,1776606531023,27.59
1776606532235,device_001,6459,1776606532024,28.77
1776606533256,device_001,6460,1776606533029,27.61
1776606534248,device_001,6461,1776606534029,29.67
1776606535221,device_001,6462,1776606535030,26.08
1776606536225,device_001,6463,1776606536032,26.86
1776606537246,device_001,6464,1776606537033,25.22
1776606538249,device_001,6465,1776606538035,29.66
1776606539235,device_001,6466,1776606539036,28.15
1776606540258,device_001,6467,1776606540037,26.64
1776606541265,device_001,6468,1776606541038,29.3
1776606542266,device_001,6469,1776606542039,25.73
1776606543220,device_001,6470,1776606543040,26.79
1776606544236,device_001,6471,1776606544042,28.01
1776606545265,device_001,6472,1776606545046,28.44
1776606546261,device_001,6473,1776606546047,27.63
1776606547287,device_001,6474,1776606547049,28.87
1776606548271,device_001,6475,1776606548050,26.0
1776606549251,device_001,6476,1776606549051,26.99
1776606550275,device_001,6477,1776606550053,28.8
1776606551225,device_001,6478,1776606551054,25.22
1776606552245,device_001,6479,1776606552055,26.33
1776606553255,device_001,6480,1776606553058,28.18
1776606554265,device_001,6481,1776606554059,26.01
1776606555294,device_001,6482,1776606555060,27.84
1776606556231,device_001,6483,1776606556061,28.09
1776606557295,device_001,6484,1776606557062,26.28
1776606558257,device_001,6485,1776606558063,27.45
1776606559245,device_001,6486,1776606559064,25.83
1776606560279,device_001,6487,1776606560065,25.1
1776606561290,device_001,6488,1776606561075,25.76
1776606562275,device_001,6489,1776606562083,25.41
1776606563276,device_001,6490,1776606563084,28.61
1776606564290,device_001,6491,1776606564085,26.08
1776606565285,device_001,6492,1776606565086,25.91
1776606566275,device_001,6493,1776606566087,25.97
1776606567307,device_001,6494,1776606567088,26.04
1776606568297,device_001,6495,1776606568090,25.83
1776606569309,device_001,6496,1776606569091,29.78
1776606570360,device_001,6497,1776606570092,26.12
1776606571314,device_001,6498,1776606571093,27.77
1776606572305,device_001,6499,1776606572094,27.85
1776606573275,device_001,6500,1776606573096,26.48
1776606574335,device_001,6501,1776606574097,29.85
1776606575295,device_001,6502,1776606575098,26.2
1776606576296,device_001,6503,1776606576099,25.88
1776606577296,device_001,6504,1776606577100,25.59
1776606578294,device_001,6505,1776606578101,27.04
1776606579319,device_001,6506,1776606579102,27.11
1776606580297,device_001,6507,1776606580103,25.78
1776606581314,device_001,6508,1776606581104,25.17
1776606582283,device_001,6509,1776606582106,26.54
1776606583314,device_001,6510,1776606583107,25.44
1776606584313,device_001,6511,1776606584108,29.37
1776606585315,device_001,6512,1776606585109,28.03
1776606586305,device_001,6513,1776606586110,29.56
1776606587305,device_001,6514,1776606587111,26.32
1776606588315,device_001,6515,1776606588112,28.03
1776606589314,device_001,6516,1776606589113,29.61
1776606590325,device_001,6517,1776606590114,27.94
1776606591336,device_001,6518,1776606591115,25.8
1776606592315,device_001,6519,1776606592116,29.2
1776606593313,device_001,6520,1776606593117,26.16
1776606594315,device_001,6521,1776606594119,25.58
1776606595327,device_001,6522,1776606595120,28.08
1776606596304,device_001,6523,1776606596121,28.02
1776606597325,device_001,6524,1776606597122,29.79
1776606598315,device_001,6525,1776606598125,27.49
1776606599304,device_001,6526,1776606599126,25.45
1776606600315,device_001,6527,1776606600127,27.82
1776606601327,device_001,6528,1776606601128,25.15
1776606602327,device_001,6529,1776606602129,29.11
1776606604362,device_001,6530,1776606603130,28.74
1776606604380,device_001,6531,1776606604131,27.29
1776606605335,device_001,6532,1776606605133,27.11
1776606606365,device_001,6533,1776606606135,28.01
1776606607356,device_001,6534,1776606607136,27.98
1776606608334,device_001,6535,1776606608137,26.14
1776606609333,device_001,6536,1776606609139,25.64
1776606610338,device_001,6537,1776606610140,28.21
1776606611336,device_001,6538,1776606611141,28.17
1776606612335,device_001,6539,1776606612142,26.68
1776606613335,device_001,6540,1776606613143,26.68
1776606614334,device_001,6541,1776606614144,28.81
1776606615364,device_001,6542,1776606615145,27.14
1776606616333,device_001,6543,1776606616146,28.35
1776606617365,device_001,6544,1776606617149,28.46
1776606618329,device_001,6545,1776606618152,26.75
1776606619355,device_001,6546,1776606619153,29.46
1776606620356,device_001,6547,1776606620154,27.05
1776606621344,device_001,6548,1776606621155,25.31
1776606622366,device_001,6549,1776606622156,29.31
1776606623376,device_001,6550,1776606623158,29.97
1776606624384,device_001,6551,1776606624159,27.93
1776606625344,device_001,6552,1776606625161,25.63
1776606626360,device_001,6553,1776606626161,28.36
1776606627364,device_001,6554,1776606627163,25.32
1776606628349,device_001,6555,1776606628166,27.79
1776606629364,device_001,6556,1776606629167,28.84
1776606630363,device_001,6557,1776606630168,28.64
1776606631395,device_001,6558,1776606631169,28.28
1776606632375,device_001,6559,1776606632171,25.16
1776606633365,device_001,6560,1776606633172,29.88
1776606634372,device_001,6561,1776606634173,29.56
1776606635364,device_001,6562,1776606635174,26.0
1776606636374,device_001,6563,1776606636175,27.32
1776606637364,device_001,6564,1776606637176,27.64
1776606638373,device_001,6565,1776606638177,28.83
1776606639374,device_001,6566,1776606639178,27.47
1776606640374,device_001,6567,1776606640179,25.04
1776606641365,device_001,6568,1776606641181,26.36
1776606642383,device_001,6569,1776606642182,27.78
1776606643393,device_001,6570,1776606643183,25.51
1776606644404,device_001,6571,1776606644184,28.96
1776606645406,device_001,6572,1776606645185,28.47
1776606646383,device_001,6573,1776606646186,25.21
1776606647384,device_001,6574,1776606647187,26.46
1776606648375,device_001,6575,1776606648188,26.24
1776606649406,device_001,6576,1776606649190,26.22
1776606650408,device_001,6577,1776606650191,26.46
1776606651382,device_001,6578,1776606651192,27.74
1776606652394,device_001,6579,1776606652193,28.23
1776606653413,device_001,6580,1776606653195,29.08
1776606654393,device_001,6581,1776606654196,25.27
1776606655428,device_001,6582,1776606655197,28.03
1776606656434,device_001,6583,1776606656202,27.1
1776606657413,device_001,6584,1776606657203,29.81
1776606658394,device_001,6585,1776606658204,26.69
1776606659377,device_001,6586,1776606659206,25.89
1776606660403,device_001,6587,1776606660206,29.73
1776606661423,device_001,6588,1776606661208,25.82
1776606662404,device_001,6589,1776606662209,28.71
1776606663429,device_001,6590,1776606663210,29.01
1776606664414,device_001,6591,1776606664212,28.19
1776606665403,device_001,6592,1776606665213,28.16
1776606666454,device_001,6593,1776606666214,28.31
1776606667415,device_001,6594,1776606667215,27.41
1776606668398,device_001,6595,1776606668216,28.47
1776606669423,device_001,6596,1776606669217,28.2
1776606670433,device_001,6597,1776606670219,27.42
1776606671415,device_001,6598,1776606671220,29.31
1776606672433,device_001,6599,1776606672221,27.73
1776606673444,device_001,6600,1776606673222,29.59
1776606674418,device_001,6601,1776606674223,28.35
1776606675423,device_001,6602,1776606675224,29.58
1776606676443,device_001,6603,1776606676225,29.74
1776606677458,device_001,6604,1776606677226,26.03
1776606678423,device_001,6605,1776606678227,26.88
1776606679445,device_001,6606,1776606679229,28.13
1776606680463,device_001,6607,1776606680230,25.94
1776606681451,device_001,6608,1776606681232,27.58
1776606682443,device_001,6609,1776606682232,26.44
1776606683433,device_001,6610,1776606683234,26.62
1776606684453,device_001,6611,1776606684234,26.37
1776606685452,device_001,6612,1776606685236,28.72
1776606686459,device_001,6613,1776606686237,26.64
1776606687464,device_001,6614,1776606687238,29.12
1776606688427,device_001,6615,1776606688240,27.67
1776606689474,device_001,6616,1776606689241,28.37
1776606690439,device_001,6617,1776606690244,28.79
1776606691463,device_001,6618,1776606691245,29.93
1776606692463,device_001,6619,1776606692247,26.99
1776606693433,device_001,6620,1776606693248,25.86
1776606694473,device_001,6621,1776606694249,29.02
1776606695473,device_001,6622,1776606695250,27.29
1776606696438,device_001,6623,1776606696252,28.18
1776606697433,device_001,6624,1776606697253,25.96
1776606698454,device_001,6625,1776606698254,29.29
1776606699453,device_001,6626,1776606699255,26.28
1776606700477,device_001,6627,1776606700258,27.34
1776606701462,device_001,6628,1776606701258,28.24
1776606702453,device_001,6629,1776606702259,29.94
1776606703471,device_001,6630,1776606703260,25.15
1776606704473,device_001,6631,1776606704261,28.16
1776606705457,device_001,6632,1776606705262,27.49
1776606706463,device_001,6633,1776606706263,26.61
1776606707463,device_001,6634,1776606707264,29.26
1776606708462,device_001,6635,1776606708265,29.75
1776606709474,device_001,6636,1776606709266,27.46
1776606710484,device_001,6637,1776606710267,28.26
1776606711484,device_001,6638,1776606711268,29.77
1776606712493,device_001,6639,1776606712269,27.84
1776606713448,device_001,6640,1776606713271,26.48
1776606714463,device_001,6641,1776606714271,29.49
1776606715485,device_001,6642,1776606715273,28.99
1776606716500,device_001,6643,1776606716273,29.59
1776606717503,device_001,6644,1776606717274,25.91
1776606718472,device_001,6645,1776606718276,25.41
1776606719495,device_001,6646,1776606719277,27.02
1776606720505,device_001,6647,1776606720278,27.53
1776606721467,device_001,6648,1776606721279,27.89
1776606722463,device_001,6649,1776606722280,26.03
1776606724348,device_001,6650,1776606723281,29.6
